pid;size;color;brand;rrp;mainCategory;category;subCategory;stock;releaseDate
10146;M;schwarz;Nike;120.58;9;10;22;1;2017-10-10
10153;L;gelb;Uhlsport;44.38;15;33;38;1;2017-10-01
10154;S;rot;adidas;29.14;1;7;25;1;2017-10-01
10157;L;schwarz;Nike;57.08;1;7;21;2;2017-10-01
10157;M;schwarz;Nike;57.08;1;7;21;1;2017-10-01
10158;L;schwarz;adidas;76.13;1;7;20;4;2017-10-01
10158;M;schwarz;adidas;76.13;1;7;20;5;2017-10-01
10158;XL;schwarz;adidas;76.13;1;7;20;1;2017-10-01
10160;M;schwarz;Jako;69.78;1;7;22;1;2017-10-01
10164;L;blau;Nike;20.25;1;7;8;1;2017-10-01
10164;M;blau;Nike;20.25;1;7;8;2;2017-10-01
10164;S;blau;Nike;20.25;1;7;8;4;2017-10-01
10164;XL;blau;Nike;20.25;1;7;8;2;2017-10-01
10164;XS;blau;Nike;20.25;1;7;8;1;2017-10-01
10165;XS;schwarz;adidas;165.03;9;10;22;1;2017-10-01
10167;M;weiss;Jako;25.33;15;16;23;1;2017-10-01
10167;S;weiss;Jako;25.33;15;16;14;1;2017-10-01
10168;L;lila;adidas;25.33;1;7;21;1;2017-10-01
10169;S;weiss;adidas;15.17;1;7;11;1;2017-10-01
10169;M;weiss;adidas;15.17;1;7;11;3;2017-10-01
10169;L;weiss;adidas;15.17;1;7;11;14;2017-10-01
10169;XL;weiss;adidas;15.17;1;7;11;12;2017-10-01
10170;L;weiss;Nike;12.63;1;7;13;9;2017-10-01
10170;M;weiss;Nike;12.63;1;7;13;1;2017-10-01
10170;S;weiss;Nike;12.63;1;7;13;1;2017-10-01
10170;XL;weiss;Nike;12.63;1;7;13;3;2017-10-01
10170;XS;weiss;Nike;12.63;1;7;13;1;2017-10-01
10171;M;rot;adidas;50.73;1;37;6;1;2017-10-01
10174;L;rot;Hummel;50.73;1;7;21;2;2017-10-01
10174;M;rot;Hummel;50.73;1;7;21;1;2017-10-01
10174;XL;rot;Hummel;50.73;1;7;21;1;2017-10-01
10176;M;schwarz;Reebok;114.23;9;36;32;1;2017-10-01
10177;M;rot;PUMA;25.33;1;7;23;1;2017-10-01
10177;XL;rot;PUMA;25.33;1;7;23;1;2017-10-01
10183;L;schwarz;Jordan;20.25;9;10;11;1;2017-10-01
10183;M;schwarz;Jordan;20.25;9;10;11;3;2017-10-01
10186;M;schwarz;adidas;76.13;1;37;3;1;2017-10-01
10186;XS;schwarz;adidas;76.13;1;37;3;1;2017-10-01
10186;L;schwarz;adidas;76.13;1;37;3;1;2017-10-01
10194;M;rot;Jako;38.03;1;7;25;1;2017-10-01
10195;L;orange;Nike;63.43;1;7;28;1;2017-10-01
10195;M;orange;Nike;63.43;1;7;28;3;2017-10-01
10195;XL;orange;Nike;63.43;1;7;28;1;2017-10-01
10197;L;blau;Nike;12.63;1;7;11;8;2017-10-01
10197;M;blau;Nike;12.63;1;7;11;12;2017-10-01
10197;S;blau;Nike;12.63;1;7;11;6;2017-10-01
10197;XL;blau;Nike;12.63;1;7;11;2;2017-10-01
10199;S;weiss;adidas;114.23;9;18;32;1;2017-11-23
10199;M;weiss;adidas;114.23;9;18;32;2;2017-11-23
10199;M;weiss;adidas;114.23;9;18;32;1;2017-11-23
10203;L;grau;Nike;57.08;9;10;35;2;2017-10-01
10203;M;grau;Nike;57.08;9;10;35;1;2017-10-01
10205;XL;schwarz;adidas;44.38;1;7;22;1;2017-10-01
10207;L;schwarz;Nike;31.68;9;10;25;2;2017-10-01
10207;M;schwarz;Nike;31.68;9;10;25;1;2017-10-01
10207;S;schwarz;Nike;31.68;9;10;25;1;2017-10-01
10208;XS;weiss;Nike;69.78;1;37;6;1;2017-10-01
10208;XS;weiss;Nike;69.78;1;37;6;1;2017-10-01
10208;XS;weiss;Nike;69.78;1;37;6;1;2017-10-01
10208;XS;weiss;Nike;69.78;1;37;6;1;2017-10-01
10208;M;weiss;Nike;69.78;1;37;6;1;2017-10-01
10208;M;weiss;Nike;69.78;1;37;6;1;2017-10-01
10210;S;gelb;Nike;101.53;1;2;5;1;2017-10-01
10210;M;gelb;Nike;101.53;1;2;5;1;2017-10-01
10213;M;blau;Nike;292.03;1;2;4;2;2017-12-06
10213;M;blau;Nike;292.03;1;2;4;3;2017-12-06
10213;M;blau;Nike;292.03;1;2;4;1;2017-12-06
10214;S;schwarz;adidas;88.83;1;2;5;1;2017-10-01
10214;M;schwarz;adidas;88.83;1;2;5;2;2017-10-01
10214;M;schwarz;adidas;88.83;1;2;5;1;2017-10-01
10219;XL;schwarz;PUMA;50.73;1;7;22;1;2017-10-01
10222;XXL;schwarz;Nike;44.38;1;7;23;2;2017-11-22
10222;L;schwarz;Nike;44.38;1;7;23;2;2017-11-22
10222;M;schwarz;Nike;44.38;1;7;23;3;2017-11-22
10222;S;schwarz;Nike;44.38;1;7;23;1;2017-11-22
10222;XL;schwarz;Nike;44.38;1;7;23;4;2017-11-22
10224;M;gruen;adidas;165.03;1;2;3;1;2017-10-01
10227;M;blau;adidas;114.23;1;2;39;1;2017-10-01
10228;L;schwarz;Under Armour;31.68;15;16;32;7;2017-10-01
10228;M;schwarz;Under Armour;31.68;15;16;25;3;2017-10-01
10228;XL;schwarz;Under Armour;31.68;15;16;25;1;2017-10-01
10230;S;weiss;PUMA;10.09;1;7;13;1;2017-10-01
10230;M;weiss;PUMA;10.09;1;7;13;1;2017-10-01
10230;L;weiss;PUMA;10.09;1;7;13;5;2017-10-01
10230;XL;weiss;PUMA;10.09;1;7;13;1;2017-10-01
10232;M;schwarz;Nike;177.73;1;2;39;1;2017-10-01
10233;L;grau;adidas;82.48;9;10;14;1;2017-10-01
10234;M;schwarz;adidas;44.38;1;7;14;1;2017-10-27
10234;L;schwarz;adidas;44.38;1;7;14;2;2017-10-27
10234;XL;schwarz;adidas;44.38;1;7;14;1;2017-10-27
10244;XL;schwarz;Jako;38.03;15;33;32;1;2017-11-22
10249;L;blau;adidas;38.03;1;7;8;2;2017-10-01
10254;M;blau;Jako;38.03;1;7;16;3;2017-10-01
10258;L;schwarz;Uhlsport;50.73;1;7;16;1;2017-10-01
10258;M;schwarz;Uhlsport;50.73;1;7;16;1;2017-10-01
10261;M;rot;Jako;8.82;1;7;12;9;2017-10-01
10262;S;grau;Nike;126.93;9;37;32;1;2017-10-01
10263;L;schwarz;adidas;50.73;1;7;16;1;2017-10-01
10263;M;schwarz;adidas;50.73;1;7;16;7;2017-10-01
10263;S;schwarz;adidas;50.73;1;7;16;1;2017-10-01
10263;XL;schwarz;adidas;50.73;1;7;16;1;2017-10-01
10275;S;schwarz;Nike;114.23;1;2;6;1;2017-10-01
10275;M;schwarz;Nike;114.23;1;2;6;1;2017-10-01
10275;M;schwarz;Nike;114.23;1;2;6;1;2017-10-01
10275;M;schwarz;Nike;114.23;1;2;6;1;2017-10-01
10275;M;schwarz;Nike;114.23;1;2;6;1;2017-10-01
10275;L;schwarz;Nike;114.23;1;2;6;1;2017-10-01
10276;L;gruen;Nike;8.82;1;7;12;2;2017-10-01
10276;S;gruen;Nike;8.82;1;7;12;2;2017-10-01
10277;L;weiss;Jordan;158.68;9;18;32;1;2017-10-01
10279;M;schwarz;Jako;12.63;1;7;13;1;2017-10-01
10279;L;schwarz;Jako;12.63;1;7;13;2;2017-10-01
10279;XL;schwarz;Jako;12.63;1;7;13;1;2017-10-01
10282;S;blau;adidas;317.43;1;2;3;1;2017-10-01
10282;M;blau;adidas;317.43;1;2;3;1;2017-10-01
10282;M;blau;adidas;317.43;1;2;3;2;2017-10-01
10282;M;blau;adidas;317.43;1;2;3;1;2017-10-01
10283;XL;blau;Nike;31.68;1;7;22;1;2017-11-22
10285;XL;blau;Nike;27.87;1;7;21;1;2017-10-01
10289;M;blau;adidas;317.43;1;2;4;1;2017-10-01
10289;M;blau;adidas;317.43;1;2;4;1;2017-10-01
10289;M;blau;adidas;317.43;1;2;4;2;2017-10-01
10289;L;blau;adidas;317.43;1;2;4;1;2017-10-01
10289;L;blau;adidas;317.43;1;2;4;1;2017-10-01
10290;L;schwarz;adidas;44.38;15;16;25;2;2017-11-09
10290;M;schwarz;adidas;44.38;15;16;25;7;2017-11-09
10290;S;schwarz;adidas;44.38;15;16;32;1;2017-11-09
10290;XL;schwarz;adidas;44.38;15;16;42;1;2017-11-09
10291;L;gruen;Jako;41.84;1;7;20;1;2017-10-01
10297;L;gelb;Erima;31.68;15;16;14;1;2017-10-01
10297;M;gelb;Erima;31.68;15;16;25;3;2017-10-01
10305;L;schwarz;Erima;63.43;1;7;16;1;2017-10-01
10306;L;blau;Nike;12.63;1;7;13;35;2017-10-01
10306;M;blau;Nike;12.63;1;7;13;17;2017-10-01
10306;S;blau;Nike;12.63;1;7;13;4;2017-10-01
10306;XL;blau;Nike;12.63;1;7;13;1;2017-10-01
10309;XXL;gruen;Nike;44.38;1;7;21;1;2017-10-01
10310;S;weiss;adidas;63.43;1;7;28;1;2017-10-01
10312;S;schwarz;adidas;317.43;1;2;3;1;2017-10-01
10312;S;schwarz;adidas;317.43;1;2;3;8;2017-10-01
10312;S;schwarz;adidas;317.43;1;2;3;2;2017-10-01
10312;S;schwarz;adidas;317.43;1;2;3;7;2017-10-01
10312;M;schwarz;adidas;317.43;1;2;3;4;2017-10-01
10312;M;schwarz;adidas;317.43;1;2;3;5;2017-10-01
10312;M;schwarz;adidas;317.43;1;2;3;44;2017-10-01
10312;M;schwarz;adidas;317.43;1;2;3;17;2017-10-01
10312;M;schwarz;adidas;317.43;1;2;3;23;2017-10-01
10312;L;schwarz;adidas;317.43;1;2;3;24;2017-10-01
10312;L;schwarz;adidas;317.43;1;2;3;3;2017-10-01
10312;XL;schwarz;adidas;317.43;1;2;3;4;2017-10-01
10319;XS;schwarz;Nike;177.73;9;36;32;1;2017-10-01
10319;M;schwarz;Nike;177.73;9;36;32;1;2017-10-01
10319;S;schwarz;Nike;177.73;9;36;32;1;2017-10-01
10320;M;weiss;PUMA;10.09;9;10;11;2;2017-10-01
10320;L;weiss;PUMA;10.09;9;10;11;1;2017-10-01
10322;XL;blau;Reebok;88.83;9;18;32;1;2017-10-01
10325;S;schwarz;adidas;38.03;1;7;16;1;2017-11-02
10325;M;schwarz;adidas;38.03;1;7;16;1;2017-11-02
10325;L;schwarz;adidas;38.03;1;7;16;1;2017-11-02
10325;XL;schwarz;adidas;38.03;1;7;16;5;2017-11-02
10330;XL;blau;adidas;63.43;1;7;28;2;2017-10-01
10331;L;rot;Nike;38.03;1;7;21;1;2017-10-01
10331;XL;rot;Nike;38.03;1;7;21;3;2017-10-01
10332;S;orange;Nike;368.23;1;2;3;1;2017-10-01
10333;L;rot;Nike;12.63;1;7;13;7;2017-10-01
10333;M;rot;Nike;12.63;1;7;13;14;2017-10-01
10333;S;rot;Nike;12.63;1;7;13;8;2017-10-01
10333;XL;rot;Nike;12.63;1;7;13;6;2017-10-01
10333;XS;rot;Nike;12.63;1;7;13;1;2017-10-01
10337;XXL;schwarz;adidas;50.73;1;7;23;1;2017-10-23
10337;L;schwarz;adidas;50.73;1;7;23;1;2017-10-23
10337;M;schwarz;adidas;50.73;1;7;23;1;2017-10-23
10337;XL;schwarz;adidas;50.73;1;7;23;1;2017-10-23
10339;S;weiss;adidas;380.93;1;2;3;1;2017-10-01
10339;S;weiss;adidas;380.93;1;2;3;1;2017-10-01
10339;S;weiss;adidas;380.93;1;2;3;3;2017-10-01
10339;M;weiss;adidas;380.93;1;2;3;2;2017-10-01
10339;M;weiss;adidas;380.93;1;2;3;1;2017-10-01
10339;M;weiss;adidas;380.93;1;2;3;1;2017-10-01
10339;L;weiss;adidas;380.93;1;2;3;1;2017-10-01
10340;L;schwarz;Nike;63.43;1;7;40;1;2017-10-01
10343;L;schwarz;Nike;38.03;9;10;42;1;2017-10-01
10343;M;schwarz;Nike;38.03;9;10;42;1;2017-10-01
10343;S;schwarz;Nike;38.03;9;10;42;1;2017-10-01
10344;M;gelb;PUMA;152.33;1;2;39;1;2017-10-01
10345;M;gelb;adidas;279.33;1;2;39;1;2017-10-01
10345;L;gelb;adidas;279.33;1;2;39;1;2017-10-01
10346;L;weiss;Jordan;44.38;15;30;14;1;2017-10-01
10351;L;schwarz;Reebok;82.48;9;36;32;1;2017-10-01
10353;M;schwarz;adidas;279.33;1;2;4;1;2017-10-01
10353;M;schwarz;adidas;279.33;1;2;4;3;2017-10-01
10353;M;schwarz;adidas;279.33;1;2;4;3;2017-10-01
10353;L;schwarz;adidas;279.33;1;2;4;1;2017-10-01
10353;L;schwarz;adidas;279.33;1;2;4;1;2017-10-01
10353;XXL;schwarz;adidas;279.33;1;2;4;1;2017-10-01
10361;XXL;schwarz;Nike;57.08;15;33;32;1;2017-10-01
10361;L;schwarz;Nike;57.08;15;33;32;1;2017-10-01
10361;M;schwarz;Nike;57.08;15;33;32;6;2017-10-01
10361;S;schwarz;Nike;57.08;15;33;32;5;2017-10-01
10361;XL;schwarz;Nike;57.08;15;33;32;1;2017-10-01
10362;S;pink;PUMA;44.38;1;7;28;2;2017-10-01
10363;XL;lila;Nike;15.17;1;7;13;1;2017-10-01
10365;XXL;blau;adidas;31.68;1;7;21;1;2017-10-01
10365;L;blau;adidas;31.68;1;7;21;1;2017-10-01
10365;M;blau;adidas;31.68;1;7;21;1;2017-10-01
10365;S;blau;adidas;31.68;1;7;21;2;2017-10-01
10365;XS;blau;adidas;31.68;1;7;21;3;2017-10-01
10368;XL;schwarz;Jako;6.28;1;7;11;1;2017-10-01
10369;S;rosa;New Balance;139.63;9;36;32;1;2017-10-18
10378;XXL;rot;adidas;22.79;1;7;21;5;2017-10-01
10378;L;rot;adidas;22.79;1;7;21;31;2017-10-01
10378;M;rot;adidas;22.79;1;7;21;12;2017-10-01
10378;S;rot;adidas;22.79;1;7;21;2;2017-10-01
10378;XL;rot;adidas;22.79;1;7;21;11;2017-10-01
10380;M;gelb;Nike;368.23;1;2;3;1;2017-10-01
10382;L;grau;Nike;44.38;15;33;25;7;2017-12-05
10382;M;grau;Nike;44.38;15;33;25;5;2017-12-05
10383;L;blau;Jako;6.28;1;7;12;2;2017-10-01
10391;M;blau;adidas;114.23;1;7;31;3;2017-10-01
10393;M;schwarz;PUMA;203.13;1;2;5;1;2017-10-01
10396;XXL;blau;adidas;22.79;1;7;8;6;2017-10-01
10396;L;blau;adidas;22.79;1;7;8;52;2017-10-01
10396;M;blau;adidas;22.79;1;7;8;24;2017-10-01
10396;S;blau;adidas;22.79;1;7;8;1;2017-10-01
10396;XL;blau;adidas;22.79;1;7;8;2;2017-10-01
10400;M;schwarz;adidas;12.63;1;2;27;1;2017-10-01
10402;XXL;weiss;adidas;22.79;1;7;8;2;2017-10-01
10402;L;weiss;adidas;22.79;1;7;8;49;2017-10-01
10402;M;weiss;adidas;22.79;1;7;8;8;2017-10-01
10402;S;weiss;adidas;22.79;1;7;8;20;2017-10-01
10402;XL;weiss;adidas;22.79;1;7;8;2;2017-10-01
10402;XS;weiss;adidas;22.79;1;7;8;2;2017-10-01
10405;XS;rot;adidas;18.98;1;7;21;1;2017-10-01
10405;S;rot;adidas;18.98;1;7;21;1;2017-10-01
10405;M;rot;adidas;18.98;1;7;21;2;2017-10-01
10405;L;rot;adidas;18.98;1;7;21;6;2017-10-01
10405;XL;rot;adidas;18.98;1;7;21;7;2017-10-01
10407;XS;gold;adidas;76.13;1;37;3;1;2017-11-23
10407;XS;gold;adidas;76.13;1;37;3;1;2017-11-23
10407;XS;gold;adidas;76.13;1;37;3;1;2017-11-23
10407;S;gold;adidas;76.13;1;37;3;1;2017-11-23
10407;M;gold;adidas;76.13;1;37;3;2;2017-11-23
10407;M;gold;adidas;76.13;1;37;3;1;2017-11-23
10407;L;gold;adidas;76.13;1;37;3;1;2017-11-23
10408;XS;schwarz;adidas;82.48;1;37;6;1;2017-11-16
10408;XS;schwarz;adidas;82.48;1;37;6;1;2017-11-16
10408;M;schwarz;adidas;82.48;1;37;6;2;2017-11-16
10408;XS;schwarz;adidas;82.48;1;37;6;3;2017-11-16
10408;L;schwarz;adidas;82.48;1;37;6;3;2017-11-16
10410;L;weiss;Jako;8.82;1;7;11;2;2017-10-01
10410;XL;weiss;Jako;8.82;1;7;11;7;2017-10-01
10413;L;schwarz;adidas;44.38;1;7;8;2;2017-11-02
10413;M;schwarz;adidas;44.38;1;7;8;1;2017-11-02
10413;XL;schwarz;adidas;44.38;1;7;8;1;2017-11-02
10414;XXL;schwarz;adidas;76.13;1;7;22;2;2017-10-01
10414;XXL;schwarz;adidas;76.13;1;7;22;1;2017-10-01
10414;L;schwarz;adidas;76.13;1;7;22;15;2017-10-01
10414;M;schwarz;adidas;76.13;1;7;22;3;2017-10-01
10414;S;schwarz;adidas;76.13;1;7;22;1;2017-10-01
10414;XL;schwarz;adidas;76.13;1;7;22;14;2017-10-01
10414;XS;schwarz;adidas;76.13;1;7;22;1;2017-10-01
10415;XXL;schwarz;PUMA;50.73;1;7;16;3;2017-10-01
10415;L;schwarz;PUMA;50.73;1;7;16;3;2017-10-01
10415;M;schwarz;PUMA;50.73;1;7;16;4;2017-10-01
10415;XL;schwarz;PUMA;50.73;1;7;16;1;2017-10-01
10416;S;schwarz;adidas;279.33;1;2;3;4;2017-10-01
10416;S;schwarz;adidas;279.33;1;2;3;4;2017-10-01
10416;S;schwarz;adidas;279.33;1;2;3;6;2017-10-01
10416;S;schwarz;adidas;279.33;1;2;3;2;2017-10-01
10416;M;schwarz;adidas;279.33;1;2;3;21;2017-10-01
10416;M;schwarz;adidas;279.33;1;2;3;8;2017-10-01
10416;M;schwarz;adidas;279.33;1;2;3;16;2017-10-01
10416;M;schwarz;adidas;279.33;1;2;3;11;2017-10-01
10416;M;schwarz;adidas;279.33;1;2;3;17;2017-10-01
10416;L;schwarz;adidas;279.33;1;2;3;16;2017-10-01
10416;L;schwarz;adidas;279.33;1;2;3;23;2017-10-01
10416;XL;schwarz;adidas;279.33;1;2;3;5;2017-10-01
10416;XXL;schwarz;adidas;279.33;1;2;3;6;2017-10-01
10416;XXL;schwarz;adidas;279.33;1;2;3;1;2017-10-01
10418;L;blau;Uhlsport;16.44;1;7;13;1;2017-10-01
10421;S;schwarz;Nike;95.18;1;2;3;2;2017-10-01
10421;S;schwarz;Nike;95.18;1;2;3;1;2017-10-01
10421;M;schwarz;Nike;95.18;1;2;3;1;2017-10-01
10421;M;schwarz;Nike;95.18;1;2;3;1;2017-10-01
10421;M;schwarz;Nike;95.18;1;2;3;1;2017-10-01
10421;M;schwarz;Nike;95.18;1;2;3;1;2017-10-01
10421;M;schwarz;Nike;95.18;1;2;3;6;2017-10-01
10421;M;schwarz;Nike;95.18;1;2;3;1;2017-10-01
10421;L;schwarz;Nike;95.18;1;2;3;1;2017-10-01
10421;L;schwarz;Nike;95.18;1;2;3;1;2017-10-01
10421;XXL;schwarz;Nike;95.18;1;2;3;1;2017-10-01
10425;L;gelb;Nike;63.43;1;7;40;2;2017-10-01
10427;XL;schwarz;Jako;44.38;1;7;16;1;2017-10-01
10428;S;grau;Nike;76.13;9;10;14;1;2017-10-01
10431;M;grau;Nike;114.23;1;2;3;1;2018-01-24
10435;M;gruen;Nike;22.79;1;7;21;1;2017-10-01
10435;XL;gruen;Nike;22.79;1;7;21;1;2017-10-01
10436;L;rot;Nike;38.03;1;7;21;9;2017-10-01
10436;M;rot;Nike;38.03;1;7;21;4;2017-10-01
10436;S;rot;Nike;38.03;1;7;21;1;2017-10-01
10439;XXL;schwarz;adidas;50.73;1;7;22;1;2017-10-01
10439;L;schwarz;adidas;50.73;1;7;22;36;2017-10-01
10439;M;schwarz;adidas;50.73;1;7;22;10;2017-10-01
10439;S;schwarz;adidas;50.73;1;7;22;2;2017-10-01
10439;XL;schwarz;adidas;50.73;1;7;22;6;2017-10-01
10439;XS;schwarz;adidas;50.73;1;7;22;1;2017-10-01
10447;XXL;schwarz;Nike;22.79;1;7;8;15;2017-10-01
10447;L;schwarz;Nike;22.79;1;7;8;36;2017-10-01
10447;M;schwarz;Nike;22.79;1;7;8;165;2017-10-01
