"pid"|"old_size"|"new_size"
10421|"43"|"M"
10421|"44"|"M"
10421|"44,5"|"M"
10421|"45"|"M"
10421|"45,5"|"L"
10421|"46"|"L"
10421|"47,5"|"XXL"
10425|"L"|"L"
10427|"164"|"XL"
10428|"S ( 34/36 )"|"S"
10431|"44"|"M"
10435|"M ( 140-152 )"|"M"
10435|"XL ( 158-170 )"|"XL"
10436|"L"|"L"
10436|"M"|"M"
10436|"S"|"S"
10439|"2XL"|"XXL"
10439|"L"|"L"
10439|"M"|"M"
10439|"S"|"S"
10439|"XL"|"XL"
10439|"XS"|"XS"
10447|"2XL"|"XXL"
10447|"L"|"L"
10447|"M"|"M"
10447|"S"|"S"
10447|"XL"|"XL"
10451|"S"|"S"
10452|"164"|"XL"
10456|"L ( 152-158 )"|"L"
10456|"M ( 140-152 )"|"M"
10456|"S ( 128-140 )"|"S"
10456|"XL ( 158-170 )"|"XL"
10457|"L"|"L"
10460|"36"|"XS"
10463|"2XL"|"XXL"
10463|"L"|"L"
10463|"M"|"M"
10463|"S"|"S"
10463|"XL"|"XL"
10466|"40"|"S"
10466|"41 1/3"|"S"
10466|"42 2/3"|"M"
10466|"44"|"M"
10466|"44 2/3"|"M"
10466|"45 1/3"|"L"
10467|"2XL"|"XXL"
10467|"L"|"L"
10467|"M"|"M"
10467|"S"|"S"
10467|"XL"|"XL"
10469|"40,5"|"S"
10469|"41"|"S"
10469|"42,5"|"M"
10469|"44"|"M"
10469|"47"|"XL"
10470|"41"|"S"
10470|"42,5"|"M"
10470|"43"|"M"
10483|"38"|"XS"
10490|"XL ( 158-170 )"|"XL"
10503|"42"|"M"
10509|"164"|"XL"
10511|"40"|"S"
10511|"41 1/3"|"S"
10511|"42"|"M"
10511|"42 2/3"|"M"
10511|"44"|"M"
10511|"44 2/3"|"M"
10511|"45 1/3"|"L"
10511|"46 2/3"|"XL"
10514|"3XL"|"XXL"
10514|"L"|"L"
10514|"S"|"S"
10514|"XL"|"XL"
10519|"L"|"L"
10519|"M"|"M"
10519|"S"|"S"
10523|"L"|"L"
10525|"L"|"L"
10525|"M"|"M"
10525|"S"|"S"
10525|"XL"|"XL"
10526|"38"|"XS"
10527|"37 1/3"|"M"
10527|"38"|"XS"
10533|"L"|"L"
10549|"L"|"L"
10550|"42"|"M"
10551|"6"|"XL"
10552|"44"|"M"
10552|"45 1/3"|"L"
10553|"M"|"M"
10558|"140"|"M"
10558|"152"|"L"
10558|"164"|"XL"
10559|"2 ( 37-39 )"|"S"
10559|"4 ( 43-45 )"|"L"
10560|"M"|"M"
10560|"XL"|"XL"
10569|"36,5"|"M"
10570|"32"|"XS"
10570|"33"|"XS"
10570|"34"|"XS"
10570|"35"|"S"
10570|"37 1/3"|"M"
10570|"38"|"XS"
10570|"38 2/3"|"L"
10573|"164"|"XL"
10574|"44 2/3"|"M"
10574|"46"|"L"
10574|"46 2/3"|"XL"
10574|"47 1/3"|"XXL"
10575|"40 2/3"|"S"
10575|"42"|"M"
10575|"42 2/3"|"M"
10575|"43 1/3"|"M"
10575|"44"|"M"
10575|"44 2/3"|"M"
10575|"46"|"L"
10575|"46 2/3"|"XL"
10575|"47 1/3"|"XXL"
10575|"48 2/3"|"XXL"
10583|"L ( 152-158 )"|"L"
10584|"2XL"|"XXL"
10585|"L"|"L"
10585|"M"|"M"
10585|"XL"|"XL"
10589|"XL ( 158-170 )"|"XL"
10594|"S"|"S"
10597|"37"|"M"
10598|"L ( 152-158 )"|"L"
10598|"M ( 140-152 )"|"M"
10598|"XL ( 158-170 )"|"XL"
10603|"40"|"S"
10603|"40,5"|"S"
10603|"45,5"|"L"
10607|"140"|"M"
10609|""|"L"
10610|"116"|"XS"
10610|"140"|"M"
10610|"152"|"L"
10610|"164"|"XL"
10614|"M"|"M"
10615|"176"|"XXL"
10616|"2XL"|"XXL"
10616|"L"|"L"
10616|"M"|"M"
10616|"S"|"S"
10616|"XL"|"XL"
10617|"128"|"S"
10617|"140"|"M"
10617|"152"|"L"
10617|"164"|"XL"
10619|"2XL"|"XXL"
10619|"L"|"L"
10619|"M"|"M"
10619|"S"|"S"
10619|"XL"|"XL"
10620|"36 2/3"|"M"
10620|"37 1/3"|"M"
10620|"38"|"XS"
10620|"38 2/3"|"L"
10621|"40,5"|"S"
10623|"41"|"S"
10623|"42"|"M"
10627|"42,5"|"M"
10627|"43"|"M"
10627|"44"|"M"
10628|"3 ( 40-42 )"|"M"
10628|"4 ( 43-45 )"|"L"
10628|"5 ( 46-48 )"|"XL"
10630|"S"|"S"
10630|"XL"|"XL"
10631|"L"|"L"
10633|"L"|"L"
10633|"M"|"M"
10633|"S"|"S"
10635|"L"|"L"
10635|"M"|"M"
10635|"S"|"S"
10642|"43"|"M"
10642|"44"|"M"
10642|"45"|"M"
10645|"2XL"|"XXL"
10645|"3XL"|"XXL"
10645|"L"|"L"
10645|"M"|"M"
10645|"S"|"S"
10645|"XL"|"XL"
10653|"12 (41-45)"|"XL"
10664|"L"|"L"
10664|"M"|"M"
10665|"140"|"M"
10670|"2XL"|"XXL"
10671|"35"|"S"
10671|"35,5"|"S"
10671|"36"|"XS"
10675|"L"|"L"
10677|"5 ( 43-46 )"|"XL"
10680|"L"|"L"
10681|"41"|"S"
10682|"L ( 152-158 )"|"L"
10684|"41"|"S"
10686|"L"|"L"
10686|"M"|"M"
10686|"S"|"S"
10686|"XL"|"XL"
10692|"2XL"|"XXL"
10692|"3XL"|"XXL"
10692|"L"|"L"
10692|"M"|"M"
10692|"S"|"S"
10692|"XL"|"XL"
10706|"L ( 152-158 )"|"L"
10706|"M ( 140-152 )"|"M"
10706|"S ( 128-140 )"|"S"
10706|"XL ( 158-170 )"|"XL"
10706|"XS ( 116-128 )"|"XS"
10707|"2XL"|"XXL"
10707|"L"|"L"
10707|"M"|"M"
10707|"S"|"S"
10707|"XL"|"XL"
10713|"33"|"XS"
10713|"33,5"|"XS"
10713|"35"|"S"
10713|"35,5"|"S"
10713|"37,5"|"M"
10713|"38"|"XS"
10713|"38,5"|"L"
10714|"M"|"M"
10715|"39 1/3"|"S"
10715|"40"|"S"
10715|"40 2/3"|"S"
10715|"41 1/3"|"S"
10715|"42"|"M"
10715|"42 2/3"|"M"
10715|"43 1/3"|"M"
10715|"44"|"M"
10715|"44 2/3"|"M"
10715|"45 1/3"|"L"
10715|"46"|"L"
10717|"2XL"|"XXL"
10717|"XL"|"XL"
10730|"2XL"|"XXL"
10730|"L"|"L"
10730|"M"|"M"
10730|"S"|"S"
10730|"XL"|"XL"
10730|"XS"|"XS"
10733|"L ( 152-158 )"|"L"
10733|"M ( 140-152 )"|"M"
10733|"XL ( 158-170 )"|"XL"
10736|"L"|"L"
10737|"XL"|"XL"
10738|"M"|"M"
10742|"43"|"M"
10743|"2XL"|"XXL"
10743|"L"|"L"
10743|"XL"|"XL"
10746|"XL ( 158-170 )"|"XL"
10748|"2 ( 37-39 )"|"S"
10748|"3 ( 40-42 )"|"M"
10748|"4 ( 43-45 )"|"L"
10748|"5 ( 46-48 )"|"XL"
10750|"43"|"M"
10752|"L ( 152-158 )"|"L"
10752|"XL ( 158-170 )"|"XL"
10755|"M"|"M"
10755|"S"|"S"
10756|"L ( 42-46 )"|"L"
10756|"M ( 38-42 )"|"M"
10756|"S ( 34-38 )"|"S"
10759|"2XL"|"XXL"
10759|"L"|"L"
10759|"M"|"M"
10759|"S"|"S"
10759|"XL"|"XL"
10760|"43 1/3"|"M"
10760|"44 2/3"|"M"
10760|"46 2/3"|"XL"
10760|"47 1/3"|"XXL"
10766|"2 ( 37-39 )"|"S"
10766|"3 ( 40-42 )"|"M"
10766|"4 ( 43-45 )"|"L"
10766|"5 ( 46-48 )"|"XL"
10768|"34"|"XS"
10768|"36,5"|"M"
10768|"37,5"|"M"
10768|"38,5"|"L"
10771|"164"|"XL"
10772|"2XL"|"XXL"
10772|"L"|"L"
10772|"M"|"M"
10772|"S"|"S"
10772|"XL"|"XL"
10774|"38 2/3"|"XS"
10774|"39 1/3"|"S"
10774|"40"|"S"
10774|"40 2/3"|"S"
10775|"XL"|"XL"
10778|"32"|"XS"
10779|"43"|"M"
10779|"44"|"M"
10781|"L"|"L"
10782|"41 1/3"|"S"
10782|"42 2/3"|"M"
10785|"L"|"L"
10785|"M"|"M"
10785|"S"|"S"
10785|"XL"|"XL"
10788|"40"|"S"
10788|"41"|"S"
10791|"33"|"XS"
10794|"L ( 152-158 )"|"L"
10794|"M ( 140-152 )"|"M"
10794|"S ( 128-140 )"|"S"
10794|"XL ( 158-170 )"|"XL"
10794|"XS ( 116-128 )"|"XS"
10796|"45,5"|"L"
10798|"42,5"|"M"
10807|"XL"|"XL"
10809|"L"|"L"
10809|"M"|"M"
10809|"S"|"S"
10809|"XL"|"XL"
10810|"M"|"M"
10810|"XL"|"XL"
10812|"40"|"S"
10818|"39 1/3"|"S"
10818|"42"|"M"
10827|"3 ( 40-42 )"|"M"
10827|"4 ( 43-45 )"|"L"
10828|"L ( 42-46 )"|"L"
10828|"M ( 38-42 )"|"M"
10828|"S ( 34-38 )"|"S"
10828|"XL (46-50 )"|"XL"
10828|"XS ( 30-34 )"|"XS"
10839|"L ( 152-158 )"|"L"
10839|"XL ( 158-170 )"|"XL"
10847|"L"|"L"
10847|"M"|"M"
10849|"2XL"|"XXL"
10849|"L"|"L"
10849|"M"|"M"
10849|"S"|"S"
10849|"XL"|"XL"
10854|"37,5"|"S"
10854|"38"|"XS"
10857|"M"|"M"
10857|"XL"|"XL"
10859|"42"|"M"
10859|"43"|"M"
10862|"39"|"S"
10862|"39,5"|"S"
10862|"40"|"S"
10862|"42"|"M"
10862|"42,5"|"M"
10862|"43"|"M"
10862|"44,5"|"M"
10862|"46"|"L"
10863|"L"|"L"
10866|"140"|"M"
10866|"152"|"L"
10870|"M"|"M"
10874|"38,5"|"L"
10875|"36"|"XS"
10875|"38"|"XS"
10876|"37,5"|"M"
10878|"2XL"|"XXL"
10878|"L"|"L"
10878|"M"|"M"
10878|"S"|"S"
10878|"XL"|"XL"
10879|"M"|"M"
10881|"L"|"L"
10881|"S"|"S"
10881|"XL"|"XL"
10883|"44"|"M"
10883|"45"|"M"
10885|"39 1/3"|"S"
10885|"40"|"S"
10885|"40 2/3"|"S"
10885|"41 1/3"|"S"
10885|"42"|"M"
10885|"42 2/3"|"M"
10885|"43 1/3"|"M"
10885|"44"|"M"
10885|"44 2/3"|"M"
10885|"45 1/3"|"L"
10885|"46"|"L"
10885|"46 2/3"|"XL"
10885|"47 1/3"|"XXL"
10886|"2XL"|"XXL"
10886|"L"|"L"
10886|"M"|"M"
10886|"S"|"S"
10886|"XL"|"XL"
10895|"M"|"M"
10896|"L"|"L"
10897|"M"|"M"
10899|"33"|"XS"
10900|"9"|"XXL"
10902|"S"|"S"
10904|"41"|"S"
10904|"42,5"|"M"
10904|"43"|"M"
10904|"44"|"M"
10904|"44,5"|"M"
10904|"45"|"M"
10904|"45,5"|"L"
10907|"M ( 38/40 )"|"M"
10909|"44,5"|"M"
10909|"45"|"M"
10912|"2XL"|"XXL"
10912|"L"|"L"
10912|"M"|"M"
10912|"S"|"S"
10912|"XL"|"XL"
10913|"XL"|"XL"
10914|"42"|"M"
10914|"44"|"M"
10915|"43"|"M"
10917|"L"|"L"
10917|"M"|"M"
10917|"S"|"S"
10919|"M"|"M"
10924|"M ( 140-152 )"|"M"
10924|"S ( 128-140 )"|"S"
10924|"XS ( 116-128 )"|"XS"
10925|"L"|"L"
10925|"M"|"M"
10925|"S"|"S"
10925|"XL"|"XL"
10927|"140"|"M"
10927|"164"|"XL"
10929|"L"|"L"
10931|"L ( 152-158 )"|"L"
10932|"43 1/3"|"M"
10936|"2XL"|"XXL"
10936|"M"|"M"
10936|"XL"|"XL"
10943|"L"|"L"
10943|"M"|"M"
10943|"S"|"S"
10948|"40,5"|"S"
10948|"41"|"S"
10948|"42"|"M"
10948|"42,5"|"M"
10948|"43"|"M"
10948|"44"|"M"
10948|"44,5"|"M"
10948|"45"|"M"
10948|"45,5"|"L"
10948|"46"|"L"
10950|"L"|"L"
10950|"M"|"M"
10953|"2XL"|"XXL"
10953|"L"|"L"
10953|"XL"|"XL"
10954|"42,5"|"M"
10954|"44,5"|"M"
10954|"47"|"XL"
10956|"31"|"XS"
10957|"36 2/3"|"M"
10957|"37 1/3"|"M"
10961|"3XL"|"XXL"
10961|"L"|"L"
10961|"XL"|"XL"
10962|"45"|"M"
10966|"44,5"|"M"
10971|"XL ( 158-170 )"|"XL"
10973|"L"|"L"
10973|"M"|"M"
10977|"M"|"M"
10978|"M"|"M"
10979|"35 - 38"|"M"
10979|"39 - 42"|"M"
10979|"43 - 46"|"XL"
10981|"2XL"|"XXL"
10981|"L"|"L"
10981|"M"|"M"
10981|"S"|"S"
10981|"XL"|"XL"
10983|"L"|"L"
10987|"4 ( 43-45 )"|"L"
10990|"2XL"|"XXL"
10990|"L"|"L"
10990|"M"|"M"
10990|"S"|"S"
10990|"XL"|"XL"
10990|"XS"|"XS"
10991|"45"|"M"
10994|"41"|"S"
10994|"42"|"M"
10994|"43"|"M"
10994|"44"|"M"
10994|"44,5"|"M"
10994|"45"|"M"
10994|"46"|"L"
10994|"47"|"XL"
10997|"40,5"|"S"
10997|"42"|"M"
10997|"42,5"|"M"
10997|"43"|"M"
10997|"44,5"|"M"
10997|"45"|"M"
10997|"45,5"|"L"
11003|"45"|"M"
11004|"S"|"S"
11009|"L"|"L"
11009|"M"|"M"
11009|"S"|"S"
11009|"XL"|"XL"
11010|"M"|"M"
11017|"40"|"S"
11025|"2XL"|"XXL"
11025|"L"|"L"
11025|"S"|"S"
11025|"XL"|"XL"
11026|"40"|"S"
11026|"42"|"M"
11026|"43 1/3"|"M"
11026|"44 2/3"|"M"
11026|"45 1/3"|"L"
11033|"44"|"M"
11034|"1 ( 31-34 )"|"XS"
11034|"2 ( 35-38 )"|"S"
11034|"3 ( 39-42 )"|"M"
11034|"4 ( 43-46 )"|"L"
11034|"5 ( 47-49 )"|"XL"
11035|"L"|"L"
11035|"M"|"M"
11035|"S"|"S"
11035|"XL"|"XL"
11037|"2XL"|"XXL"
11037|"L"|"L"
11037|"M"|"M"
11037|"S"|"S"
11037|"XL"|"XL"
11039|"L"|"L"
11040|"140"|"M"
11041|"152"|"L"
11042|"L"|"L"
11045|"36,5"|"M"
11046|"152"|"L"
11048|"M"|"M"
11049|"L ( 40/42 )"|"L"
11049|"M ( 38/40 )"|"M"
11054|"L"|"L"
11054|"M"|"M"
11054|"XL"|"XL"
11058|"34"|"XS"
11059|"41"|"S"
11059|"42"|"M"
11059|"43"|"M"
11059|"44,5"|"M"
11059|"45"|"M"
11059|"45,5"|"L"
11064|"42"|"M"
11064|"44,5"|"M"
11064|"46"|"L"
11064|"47"|"XL"
11067|"128"|"S"
11067|"140"|"M"
11067|"152"|"L"
11067|"164"|"XL"
11068|"40"|"S"
11071|"140"|"M"
11071|"152"|"L"
11071|"164"|"XL"
11073|"L"|"L"
11073|"M"|"M"
11074|"L"|"L"
11075|"L"|"L"
11075|"M"|"M"
11075|"XL"|"XL"
11077|"XL"|"XL"
11078|"41 1/3"|"S"
11078|"42 2/3"|"M"
11078|"43 1/3"|"M"
11078|"44"|"M"
11078|"44 2/3"|"M"
11078|"45 1/3"|"L"
11078|"46"|"L"
11078|"47 1/3"|"XXL"
11078|"48"|"XXL"
11080|"L"|"L"
11080|"M"|"M"
11082|"47"|"XL"
11083|"152"|"L"
11084|"38 2/3"|"L"
11086|"M"|"M"
11089|"L"|"L"
11089|"XL"|"XL"
11091|"42"|"M"
11091|"42,5"|"M"
11091|"43"|"M"
11091|"44"|"M"
11091|"44,5"|"M"
11093|"39 1/3"|"S"
11093|"43 1/3"|"M"
11093|"44 2/3"|"M"
11093|"45 1/3"|"L"
11095|"XL"|"XL"
11100|"140"|"M"
11100|"152"|"L"
11100|"164"|"XL"
11101|"2XL"|"XXL"
11101|"L"|"L"
11101|"M"|"M"
11101|"S"|"S"
11101|"XL"|"XL"
11105|"37,5"|"M"
11106|"3 ( 40-42 )"|"M"
11106|"4 ( 43-45 )"|"L"
11106|"5 ( 46-48 )"|"XL"
11110|"44"|"M"
11110|"44,5"|"M"
11114|"140"|"M"
11121|"39"|"S"
11123|"L"|"L"
11130|"37,5"|"M"
11133|"L"|"L"
11133|"M"|"M"
11133|"S"|"S"
11133|"XL"|"XL"
11137|"42,5"|"M"
11137|"44,5"|"M"
11142|"M"|"M"
11144|"42 2/3"|"M"
11144|"43 1/3"|"M"
11144|"44 2/3"|"M"
11148|"2XL"|"XXL"
11148|"M"|"M"
11148|"XL"|"XL"
11154|"42 2/3"|"M"
11154|"44 2/3"|"M"
11154|"45 1/3"|"L"
11154|"46"|"L"
11154|"46 2/3"|"XL"
11158|"41,5"|"S"
11158|"42"|"M"
11158|"42,5"|"M"
11162|"3"|"S"
